aX,aY,aZ,gX,gY,gZ
-0.474,1.294,2.693,-181.091,-174.988,30.396
-0.501,0.918,2.458,-223.267,-110.046,-4.883
-0.593,0.385,2.244,-210.144,-82.275,-32.532
-0.598,0.163,2.155,-156.738,-75.745,-27.466
-0.552,0.020,2.229,-85.938,-80.139,-10.681
-0.506,-0.081,2.290,-26.611,-78.125,2.869
-0.445,0.025,2.217,3.479,-60.669,19.836
-0.322,0.262,1.996,13.855,-36.804,33.752
-0.224,0.495,1.725,8.240,-16.235,37.842
-0.126,0.616,1.521,1.709,-4.272,32.410
-0.036,0.649,1.510,-2.686,-0.061,20.935
-0.010,0.567,1.384,0.793,10.681,5.615
-0.017,0.466,1.103,6.592,27.405,-5.493
-0.005,0.390,0.976,6.897,31.860,-11.536
0.011,0.326,0.931,6.714,31.799,-14.526
0.003,0.250,0.834,9.277,34.485,-15.991
0.001,0.205,0.742,11.047,35.583,-14.282
0.004,0.211,0.664,11.658,33.142,-10.559
0.011,0.186,0.645,10.620,26.367,-7.751
0.033,0.206,0.688,10.010,17.090,-4.578
0.033,0.236,0.685,9.155,11.658,-2.014
0.037,0.247,0.689,6.165,8.057,-0.977
0.037,0.255,0.735,2.808,4.517,-0.916
0.032,0.249,0.782,-1.038,3.174,-1.709
0.018,0.255,0.790,-2.197,3.967,-1.709
0.009,0.250,0.781,-1.343,4.578,-2.136
-0.008,0.231,0.760,-1.099,3.418,-1.892
-0.009,0.230,0.787,-2.625,-0.244,-0.122
-0.002,0.268,0.860,-4.700,-4.578,2.808
-0.006,0.275,0.907,-3.357,-5.737,3.662
-0.011,0.259,0.943,-1.587,-5.432,3.479
-0.025,0.262,0.965,1.038,-5.676,4.517
-0.013,0.273,1.004,2.197,-5.493,5.432
-0.013,0.281,1.024,1.465,-4.089,5.676
-0.014,0.292,1.034,0.610,-2.930,6.409
-0.015,0.337,1.052,0.793,-3.113,7.385
-0.016,0.347,1.048,1.038,-1.953,5.920
-0.017,0.314,1.050,1.099,-0.793,3.052
-0.011,0.323,1.071,0.427,-0.305,2.502
-0.013,0.323,1.072,-0.610,1.526,1.831
-0.011,0.305,1.022,-0.549,3.845,0.488
-0.005,0.307,0.999,-0.854,4.517,0.488
0.006,0.308,0.979,-1.709,4.089,0.244
0.014,0.308,0.968,-1.465,4.150,-0.061
0.020,0.287,0.958,-0.427,4.089,-0.916
0.023,0.282,0.932,0.549,4.883,-1.160
0.031,0.288,0.918,1.709,5.249,-1.221
0.023,0.271,0.915,3.052,4.944,-1.953
0.016,0.235,0.914,3.479,5.249,-2.747
0.008,0.221,0.893,4.089,5.859,-1.892
0.000,0.230,0.862,3.784,5.554,-0.061
-0.011,0.234,0.901,3.235,2.258,1.404
-0.009,0.242,0.919,3.235,1.282,2.075
0.000,0.251,0.911,3.845,2.136,2.319
0.004,0.262,0.924,2.380,1.160,2.686
0.012,0.267,0.946,0.793,-0.610,2.869
0.006,0.294,0.969,-0.122,-1.221,3.174
0.002,0.276,0.974,0.244,-0.305,2.014
0.006,0.274,0.941,1.282,1.282,0.977
0.004,0.296,0.922,1.343,1.953,1.404
0.001,0.271,0.944,0.183,1.160,0.366
0.003,0.259,0.958,-0.427,0.671,0.488
0.011,0.270,0.966,0.000,0.671,1.770
0.012,0.270,0.969,1.892,0.610,2.136
