aX,aY,aZ,gX,gY,gZ
0.071,-0.125,-1.037,12.451,-23.804,3.967
0.082,-0.152,-1.011,8.484,-27.649,1.892
0.087,-0.113,-1.020,7.935,-27.100,3.601
0.088,-0.113,-1.006,7.996,-27.893,3.723
0.103,-0.132,-1.021,9.338,-27.466,3.235
-1.151,0.002,-2.127,86.792,602.539,-67.383
-1.000,-0.069,-2.547,42.236,560.303,-69.763
-0.872,-0.055,-2.704,-15.503,499.756,-72.998
-0.842,-0.140,-2.842,-56.885,451.233,-79.041
-0.764,-0.290,-2.967,-82.214,406.067,-83.923
-0.776,-0.368,-2.972,-75.073,361.328,-85.022
-0.741,-0.420,-2.788,-45.532,307.007,-82.947
-0.635,-0.394,-2.698,-19.165,266.479,-76.477
-0.491,-0.445,-2.658,-4.211,233.154,-70.313
-0.360,-0.498,-2.705,-3.784,201.782,-61.890
-0.300,-0.614,-2.561,-7.935,159.241,-51.147
-0.244,-0.639,-2.313,-7.080,114.380,-33.997
-0.215,-0.531,-2.104,-10.437,79.651,-14.099
-0.268,-0.461,-1.831,-13.184,52.917,1.038
-0.238,-0.273,-1.671,-10.864,36.743,15.625
-0.231,-0.153,-1.627,-7.141,31.494,24.109
-0.226,-0.061,-1.582,-5.554,25.818,25.452
-0.217,-0.032,-1.480,-1.892,18.127,23.682
-0.203,-0.055,-1.403,0.488,12.573,19.836
-0.191,-0.052,-1.362,1.648,10.071,18.250
-0.183,-0.032,-1.355,3.418,8.118,17.456
-0.171,0.004,-1.359,4.456,4.578,15.808
-0.145,0.041,-1.333,2.258,-1.587,12.695
-0.098,0.017,-1.282,-2.319,-8.850,6.592
-0.112,-0.063,-1.170,-7.507,-18.005,0.000
-0.093,-0.122,-0.986,-10.437,-25.330,-2.686
-0.045,-0.104,-1.086,-10.559,-15.503,-0.061
-0.038,-0.110,-1.121,-12.146,-11.414,-0.916
-0.028,-0.122,-1.121,-14.038,-13.611,-1.953
-0.020,-0.145,-1.119,-11.963,-14.587,-2.869
-0.021,-0.167,-1.077,-9.705,-14.709,-2.991
-0.013,-0.205,-1.032,-6.897,-13.245,-2.930
-0.011,-0.189,-1.034,-4.700,-9.949,-1.343
-0.012,-0.161,-1.033,-2.930,-7.141,0.366
-0.010,-0.141,-1.051,-1.709,-5.615,0.244
-0.016,-0.143,-1.020,-1.465,-6.653,-1.038
-0.010,-0.149,-0.998,-1.831,-7.263,-1.831
-0.004,-0.151,-1.009,-1.038,-6.287,-1.770
0.002,-0.135,-1.011,0.366,-6.165,-1.282
0.007,-0.142,-0.994,1.343,-7.019,-1.465
0.010,-0.142,-0.999,0.977,-7.568,-1.892
0.011,-0.148,-0.981,1.770,-8.789,-1.831
0.011,-0.156,-0.950,2.625,-10.620,-2.014
0.010,-0.144,-0.943,2.563,-10.620,-1.282
0.009,-0.143,-0.929,-0.061,-10.132,-0.977
0.001,-0.139,-0.941,-2.869,-7.935,-0.610
0.001,-0.128,-0.956,-4.517,-5.737,-0.427
-0.004,-0.129,-0.961,-4.211,-3.906,-0.916
0.001,-0.133,-0.969,-2.930,-2.258,-1.160
-0.001,-0.128,-0.998,-1.526,0.000,-1.221
-0.004,-0.126,-0.989,0.061,0.061,-1.404
-0.003,-0.137,-0.963,0.854,-0.549,-2.258
-0.003,-0.131,-0.975,0.366,0.793,-2.258
0.002,-0.129,-1.006,-1.221,2.136,-2.686
0.002,-0.150,-1.026,-2.075,1.831,-3.418
0.001,-0.148,-1.035,-2.686,0.732,-3.540
-0.005,-0.156,-1.014,-2.441,-0.671,-3.296
0.004,-0.141,-1.024,-3.296,-0.793,-3.113
0.009,-0.160,-1.031,-4.517,-0.610,-3.540
0.006,-0.170,-0.995,-3.540,-2.014,-3.418
0.003,-0.137,-1.002,-1.892,-0.549,-2.563
0.011,-0.154,-1.009,-1.221,0.671,-3.052
0.005,-0.188,-1.009,-0.549,0.427,-3.723
0.014,-0.182,-1.027,-0.610,0.305,-3.113
0.014,-0.190,-1.036,-0.732,-0.366,-2.563
0.018,-0.192,-1.025,-0.671,-1.465,-2.136
0.022,-0.175,-1.012,-0.366,-2.014,-0.977
0.012,-0.165,-1.007,-0.793,-1.648,-0.549
0.007,-0.159,-1.001,-0.183,-1.404,-0.549
0.009,-0.153,-1.006,0.061,-1.343,0.000
0.010,-0.159,-1.011,-0.366,-1.892,-0.427
0.006,-0.165,-1.000,-1.221,-2.686,-0.610
0.001,-0.162,-1.014,-1.953,-2.319,-0.244
0.002,-0.159,-1.028,-1.526,-2.625,-0.122
0.001,-0.150,-1.011,-0.671,-4.028,-0.366
-0.000,-0.162,-0.999,-1.282,-4.395,-0.671
-0.003,-0.164,-1.001,-0.305,-4.089,-1.038
-0.004,-0.146,-1.000,0.366,-3.113,-0.122
-0.004,-0.145,-1.015,-0.427,-0.916,-0.244
-0.007,-0.137,-1.032,-0.610,0.427,-0.732
-0.004,-0.134,-1.041,-0.427,0.183,-1.282
-0.008,-0.150,-1.027,-0.610,-0.916,-2.441
-0.004,-0.166,-1.017,-0.488,-1.221,-2.808
-0.001,-0.159,-1.019,-0.732,-1.526,-2.563
0.003,-0.164,-1.030,-0.549,-1.587,-2.075
0.001,-0.148,-1.031,0.183,-2.014,-1.587
0.004,-0.152,-1.033,-0.122,-2.563,-1.343
0.001,-0.162,-1.028,-0.305,-3.113,-1.587
-0.001,-0.154,-1.023,0.671,-3.784,-1.038
-0.003,-0.151,-1.016,1.282,-4.517,-1.038
-0.003,-0.159,-0.999,1.465,-5.249,-1.282
0.002,-0.152,-1.004,2.197,-4.578,-1.160
0.007,-0.149,-1.015,2.258,-3.479,-1.343
0.009,-0.148,-1.011,2.380,-3.357,-1.648
0.009,-0.148,-1.010,2.014,-3.540,-1.831
0.013,-0.153,-0.999,1.404,-3.906,-2.014
0.017,-0.160,-0.999,0.916,-4.089,-2.136
0.020,-0.167,-0.998,0.366,-3.906,-1.648
0.022,-0.162,-0.990,0.183,-4.150,-0.916
0.023,-0.164,-0.993,-1.038,-3.845,-0.549
0.024,-0.161,-1.004,-1.404,-3.479,-0.244
0.021,-0.148,-0.996,-0.366,-3.357,0.610
0.018,-0.145,-0.998,-0.183,-3.174,0.671
0.023,-0.143,-0.998,0.488,-2.686,0.671
0.021,-0.145,-0.988,0.793,-2.441,0.305
0.024,-0.158,-0.985,1.099,-1.587,0.122
0.021,-0.147,-0.993,2.136,-0.610,0.427
0.026,-0.148,-0.996,1.587,-0.244,0.488
0.030,-0.158,-1.010,0.610,-0.244,0.000
0.029,-0.148,-1.016,-0.244,-0.916,0.244
0.024,-0.145,-1.000,-0.244,-2.441,0.305
0.022,-0.151,-0.990,0.244,-2.991,0.122
